ID_Region,Region,ParentRegion,RegionType,,,
486,Siyathemba Local Municipality,187,Local Municipality,,,
487,Sol Plaatje Local Municipality,101,Local Municipality,,,
488,Stellenbosch Local Municipality,207,Local Municipality,,,
489,Steve Tshwete Local Municipality,138,Local Municipality,,,
490,Sundays River Valley Local Municipality,102,Local Municipality,,,
491,Swartland Local Municipality,131,Local Municipality,,,
492,Swellendam Local Municipality,209,Local Municipality,,,
493,Thaba Chweu Local Municipality,126,Local Municipality,,,
494,Thabazimbi Local Municipality,212,Local Municipality,,,
495,The Big Five False Bay Local Municipality,86,Local Municipality,,,
496,Theewaterskloof Local Municipality,34,Local Municipality,,,
497,Thembelihle Local Municipality,88,Local Municipality,,,
498,Thembisile Hani Local Municipality,61,Local Municipality,,,
499,Thulamela Local Municipality,214,Local Municipality,,,
500,Tlokwe Local Municipality,185,Local Municipality,,,
501,Tokologo Local Municipality,25,Local Municipality,,,
502,Tsantsabane Local Municipality,184,Local Municipality,,,
503,Tsolwana Local Municipality,210,Local Municipality,,,
504,Tswaing Local Municipality,52,Local Municipality,,,
505,Tswelopele Local Municipality,29,Local Municipality,,,
506,Ubuhlebezwe Local Municipality,91,Local Municipality,,,
507,Ubuntu Local Municipality,224,Local Municipality,,,
508,Ulundi Local Municipality,218,Local Municipality,,,
509,Umdoni Local Municipality,199,Local Municipality,,,
510,uMhlabuyalingana Local Municipality,115,Local Municipality,,,
511,uMhlathuze Local Municipality,193,Local Municipality,,,
512,Umjindi Local Municipality,15,Local Municipality,,,
513,uMlalazi Local Municipality,63,Local Municipality,,,
514,uMngeni Local Municipality,89,Local Municipality,,,
515,uMshwathi Local Municipality,232,Local Municipality,,,
516,Umsobomvu Local Municipality,46,Local Municipality,,,
517,Umtshezi Local Municipality,64,Local Municipality,,,
518,uMuziwabantu Local Municipality,80,Local Municipality,,,
519,Umvoti Local Municipality,77,Local Municipality,,,
520,Umzimkhulu Local Municipality,219,Local Municipality,,,
521,Umzimvubu Local Municipality,149,Local Municipality,,,
522,Umzumbe Local Municipality,152,Local Municipality,,,
523,uPhongolo Local Municipality,178,Local Municipality,,,
524,Ventersdorp Local Municipality,223,Local Municipality,,,
525,Victor Khanye Local Municipality,53,Local Municipality,,,
526,Vulamehlo Local Municipality,199,Local Municipality,,,
527,Westonaria Local Municipality,235,Local Municipality,,,
528,Witzenberg Local Municipality,41,Local Municipality,,,
529,Ward1,,Ward,,,
530,Ward2,,Ward,,,
531,Ward3,,Ward,,,
532,Ward4,,Ward,,,
533,Ward5,,Ward,,,
534,Ward6,,Ward,,,
535,Ward7,,Ward,,,
536,Ward8,,Ward,,,
537,Ward9,,Ward,,,
538,Ward10,,Ward,,,
539,Ward11,,Ward,,,
540,Ward12,,Ward,,,
541,Ward13,,Ward,,,
542,Ward14,,Ward,,,
543,Ward15,,Ward,,,
544,Ward16,,Ward,,,
545,Ward17,,Ward,,,
546,Ward18,,Ward,,,
547,Ward19,,Ward,,,
548,Ward20,,Ward,,,
549,Ward21,,Ward,,,
550,Ward22,,Ward,,,
551,Ward23,,Ward,,,
552,Ward24,,Ward,,,
553,Ward25,,Ward,,,
554,Ward26,,Ward,,,
555,Ward27,,Ward,,,
556,Ward28,,Ward,,,
557,Ward29,,Ward,,,
558,Ward30,,Ward,,,
559,Ward31,,Ward,,,
560,Ward32,,Ward,,,
561,Ward33,,Ward,,,
562,Ward34,,Ward,,,
563,Ward35,,Ward,,,
564,Ward36,,Ward,,,
565,Ward37,,Ward,,,
566,Ward38,,Ward,,,
567,Ward39,,Ward,,,
568,Ward40,,Ward,,,
569,Ward41,,Ward,,,
570,Ward42,,Ward,,,
571,Ward43,,Ward,,,
572,Ward44,,Ward,,,
573,Ward45,,Ward,,,
574,Ward46,,Ward,,,
575,Ward47,,Ward,,,
576,Ward48,,Ward,,,
577,Ward49,,Ward,,,
578,Ward50,,Ward,,,
579,Ward51,,Ward,,,
580,Ward52,,Ward,,,
581,Ward53,,Ward,,,
582,Ward54,,Ward,,,
583,Ward55,,Ward,,,
584,Ward56,,Ward,,,
585,Ward57,,Ward,,,
586,Ward58,,Ward,,,
587,Ward59,,Ward,,,
588,Ward60,,Ward,,,
589,Ward61,,Ward,,,
590,Ward62,,Ward,,,
591,Ward63,,Ward,,,
592,Ward64,,Ward,,,
593,Ward65,,Ward,,,
594,Ward66,,Ward,,,
595,Ward67,,Ward,,,
596,Ward68,,Ward,,,
597,Ward69,,Ward,,,
598,Ward70,,Ward,,,
599,Ward71,,Ward,,,
600,Ward72,,Ward,,,
601,Ward73,,Ward,,,
602,Ward74,,Ward,,,
603,Ward75,,Ward,,,
604,Ward76,,Ward,,,
605,Ward77,,Ward,,,
606,Ward78,,Ward,,,
607,Ward79,,Ward,,,
608,Ward80,,Ward,,,
609,Ward81,,Ward,,,
610,Ward82,,Ward,,,
611,Ward83,,Ward,,,
612,Ward84,,Ward,,,
613,Ward85,,Ward,,,
614,Ward86,,Ward,,,
615,Ward87,,Ward,,,
616,Ward88,,Ward,,,
617,Ward89,,Ward,,,
618,Ward90,,Ward,,,
619,Ward91,,Ward,,,
620,Ward92,,Ward,,,
621,Ward93,,Ward,,,
622,Ward94,,Ward,,,
623,Ward95,,Ward,,,
624,Ward96,,Ward,,,
625,Ward97,,Ward,,,
626,Ward98,,Ward,,,
627,Ward99,,Ward,,,
628,Ward100,,Ward,,,
629,Ward101,,Ward,,,
